key_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,position_name,position_code,starter,substitute
1,WC-1970,1970 FIFA Men's World Cup,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,T-46,Mexico,MEX,1,0,P-66980,Calderón,Ignacio,1,goal keeper,GK,1,0
2,WC-1970,1970 FIFA Men's World Cup,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,T-46,Mexico,MEX,1,0,P-64553,Peña,Gustavo,3,defender,DF,1,0
3,WC-1970,1970 FIFA Men's World Cup,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,T-46,Mexico,MEX,1,0,P-42664,Pérez,Mario,5,defender,DF,1,0
4,WC-1970,1970 FIFA Men's World Cup,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,T-46,Mexico,MEX,1,0,P-69898,Hernández,Guillermo,6,midfielder,MF,1,0
5,WC-1970,1970 FIFA Men's World Cup,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,T-46,Mexico,MEX,1,0,P-56971,Salgado,Horacio López,10,forward,FW,1,0
6,WC-1970,1970 FIFA Men's World Cup,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,T-46,Mexico,MEX,1,0,P-96177,Vantolrá,José,13,defender,DF,1,0
7,WC-1970,1970 FIFA Men's World Cup,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,T-46,Mexico,MEX,1,0,P-38555,Guzmán,Javier,14,defender,DF,1,0
8,WC-1970,1970 FIFA Men's World Cup,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,T-46,Mexico,MEX,1,0,P-85808,Pulido,Héctor,15,midfielder,MF,1,0
9,WC-1970,1970 FIFA Men's World Cup,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,T-46,Mexico,MEX,1,0,P-32657,Velarde,Mario,18,midfielder,MF,1,0
10,WC-1970,1970 FIFA Men's World Cup,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,T-46,Mexico,MEX,1,0,P-07812,Valdivia,Javier,19,forward,FW,1,0
11,WC-1970,1970 FIFA Men's World Cup,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,T-46,Mexico,MEX,1,0,P-48001,Fragoso,Javier,21,forward,FW,1,0
12,WC-1970,1970 FIFA Men's World Cup,M-1970-01,Mexico vs Soviet Union,1970-05-31,group stage,Group 1,T-46,Mexico,MEX,1,0,P-96873,Munguía,Antonio,8,midfielder,MF,0,1
